,EV1,EV2,EV3,EV4,EV5,EV6,EV7,EV8
CRT_NT,1,0,0,0,0,0,0,0
WM_NT,0,1,0,0,0,0,0,0
CRT_TT,0,0,1,0,0,0,0,0
WM_TT,0,0,0,1,0,0,0,0
CRT_NTM,0,0,0,0,1,0,0,0
WM_NTM,0,0,0,0,0,1,0,0
CRT_NTMN,0,0,0,0,-1,0,0,0
WM_NTMN,0,0,0,0,0,-1,0,0
CRT_TTM,0,0,0,0,0,0,1,0
WM_TTM,0,0,0,0,0,0,0,1
CRT_TTMN,0,0,0,0,0,0,-1,0
WM_TTMN,0,0,0,0,0,0,0,-1
NT,1,1,0,0,0,0,0,0
TT,0,0,1,1,0,0,0,0
NTM,0,0,0,0,1,1,0,0
NTMN,0,0,0,0,-1,-1,0,0
TTM,0,0,0,0,0,0,1,1
TTMN,0,0,0,0,0,0,-1,-1
CRT_NT>WM_NT,1,-1,0,0,0,0,0,0
WM_NT>CRT_NT,-1,1,0,0,0,0,0,0
CRT_TT>WM_TT,0,0,1,-1,0,0,0,0
WM_TT>CRT_TT,0,0,-1,1,0,0,0,0
Mahiko,1,-1,-1,1,0,0,0,0
Mahiko_N,-1,1,1,-1,0,0,0,0
CRT_NTM>WM_NTM,0,0,0,0,1,-1,0,0
WM_NTM>CRT_NTM,0,0,0,0,-1,1,0,0
CRT_TTM>WM_NTM,0,0,0,0,0,0,1,-1
WM_TTM>CRT_TTM,0,0,0,0,0,0,-1,1
