unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
0,1,R3262,R1,NT,NT,0,None,0,2.335039,0,,,,
1,1,R3262,R1,NT,NT,0,None,2.343537,5.070567,2.735528,,,,
2,1,R3262,R1,NT,NT,0,None,5.078847,7.80597900000001,5.47094,,,,
3,1,R3262,R1,TT,TT,0,left,7.814077,9.38176600000001,7.046727,,,,
4,1,R3262,R1,NT,NT,0,None,11.65003,14.435572,0,,,,
5,1,R3262,R1,NT,NT,0,None,14.443649,16.770416,2.334844,,,,
6,1,R3262,R1,MWQ,Focus,0,3,16.778611,18.095879,,-0.772,0.705,0.329,-0.358
19,1,R3262,R1,NT,NT,0,None,83.057939,85.843033,0,,,,
20,1,R3262,R1,NT,NT,0,None,85.851537,88.278378,2.435345,,,,
21,1,R3262,R1,TT,TT,0,left,88.286548,89.812621,3.969588,,,,
22,1,R3262,R1,NT,NT,0,None,92.130897,94.666215,0,,,,
23,1,R3262,R1,NT,NT,0,None,94.674323,97.459827,2.793612,,,,
24,1,R3262,R1,NT,NT,0,None,97.467938,99.953019,5.286804,,,,
25,1,R3262,R1,TT,TT,0,left,99.961311,101.437287,6.771072,,,,
26,1,R3262,R1,NT,NT,0,None,103.955752,106.224187,0,,,,
27,1,R3262,R1,NT,NT,0,None,106.232325,108.909374,2.685187,,,,
28,1,R3262,R1,MWQ,Focus,0,3,108.917534,110.493657,,0.081,0.325,1.183,-0.176
41,1,R3262,R1,NT,NT,0,None,175.455382,178.290501,0,,,,
42,1,R3262,R1,NT,NT,0,None,178.298664,181.175826,2.885325,,,,
43,1,R3262,R1,NT,NT,0,None,181.184295,184.003248,5.712747,,,,
44,1,R3262,R1,TT,TT,0,right,184.011302,185.537362,7.246861,,,,
45,1,R3262,R1,NT,NT,0,None,187.855635,190.524401,0,,,,
46,1,R3262,R1,NT,NT,0,None,190.532511,193.009372,2.484971,,,,
47,1,R3262,R1,MWQ,Focus,0,2,193.01753,194.593659,,-1.18,1.456,1.076,-0.182
