unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset
62,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_square_triangle.png,None,265.759713,268.486472
63,1,R3262,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_circle.png,None,268.494948,270.980485
64,1,R3262,R1,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_square_circle.png,None,270.988312,273.265054
65,1,R3262,R1,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_square_triangle.png,None,273.273221,275.900269
66,1,R3262,R1,TT,TT,1,right,1.5,2.25,Stimuli/nB_T_TRIANGLE.png,right,275.908404,277.434467
67,1,R3262,R1,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_circle_square.png,None,279.7027,281.9711
68,1,R3262,R1,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_circle_triangle.png,None,281.979268,284.848173
69,1,R3262,R1,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_CIRCLE.png,left,284.856267,286.482397
70,1,R3262,R1,NT,NT,1,None,1.7,1.05,Stimuli/nB_N_triangle_square.png,None,288.650604,291.419395
71,1,R3262,R1,NT,NT,1,None,1.3,0.85,Stimuli/nB_N_triangle_circle.png,None,291.427524,293.595803
72,1,R3262,R1,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_triangle_square.png,None,293.603996,295.922387
86,1,R3262,R1,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_triangle_circle.png,None,362.468627,364.744891
87,1,R3262,R1,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_circle_square.png,None,364.753569,367.680875
101,1,R3262,R1,NT,NT,1,None,1.55,0.9,Stimuli/nB_N_circle_square.png,None,434.326961,436.803409
102,1,R3262,R1,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_circle_square.png,None,436.811986,439.480658
116,1,R3262,R1,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_square_triangle.png,None,506.118547,508.695045
117,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_circle_square.png,None,508.703643,511.430806
118,1,R3262,R1,NT,NT,1,None,1.4,1,Stimuli/nB_N_triangle_square.png,None,511.438899,513.857418
119,1,R3262,R1,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,513.865579,516.442591
120,1,R3262,R1,TT,TT,1,right,1.6,2.4,Stimuli/nB_T_TRIANGLE.png,right,516.450706,518.068501
121,1,R3262,R1,NT,NT,1,None,1.65,1.1,Stimuli/nB_N_circle_triangle.png,None,520.486874,523.255666
122,1,R3262,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,523.263781,525.932539
123,1,R3262,R1,TT,TT,1,right,1.3,2.25,Stimuli/nB_T_CIRCLE.png,right,525.940635,527.258226
124,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_triangle_square.png,None,529.526485,532.253586
125,1,R3262,R1,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_circle_square.png,None,532.26161,534.830353
