unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
6,1,R3262,R1,MWQ,Focus,0,3,16.778611,18.095879,1.201977,1,12.095879,6,1,-0.772,0.705,0.329,-0.358
28,1,R3262,R1,MWQ,Focus,0,3,108.917534,110.493657,0.426316,2,104.493657,6,1,0.081,0.325,1.183,-0.176
47,1,R3262,R1,MWQ,Focus,0,2,193.01753,194.593659,0.276647,3,188.593659,6,1,-1.18,1.456,1.076,-0.182
211,1,R3262,R2,MWQ,Focus,0,2,230.968974,232.436653,0.226271,3,226.436653,6,1,-0.44,0.859,0.32,0.319
232,1,R3262,R2,MWQ,Focus,0,2,320.89808,322.324093,-0.124077,4,316.324093,6,1,-0.833,0.072,0.871,0.617
249,1,R3262,R2,MWQ,Focus,0,2,397.768121,399.394243,-0.115632,5,393.394243,6,1,-0.431,0.376,0.219,0.412
265,1,R3262,R2,MWQ,Focus,0,1,471.302499,472.87015,-0.382368,6,466.87015,6,1,-2.048,-0.508,-0.43,-0.416
306,1,R3262,R3,MWQ,Focus,0,1,10.149092,11.724779,-0.181604,1,5.724779,6,1,-1.206,0.07,0.589,-0.184
335,1,R3262,R3,MWQ,Focus,0,1,123.41104,124.878746,-0.140754,2,118.878746,6,1,-0.653,0.79,0.553,0.341
351,1,R3262,R3,MWQ,Focus,0,2,197.979507,199.54726,-0.190478,3,193.54726,6,1,-0.701,0.315,-0.496,0.806
544,1,R3262,R4,MWQ,Focus,0,2,404.539665,405.907355,-0.39922,6,399.907355,6,1,-1.007,-0.071,0.19,0.678
671,2,R3678,R1,MWQ,Focus,0,4,279.051943,280.72813,0.659917,4,274.72813,6,1,1.996,2.001,0.506,-0.814
688,2,R3678,R1,MWQ,Focus,0,2,355.805099,357.422886,1.31067,5,351.422886,6,1,-0.755,0.119,1.145,-1.953
704,2,R3678,R1,MWQ,Focus,0,2,430.064839,431.582591,1.001749,6,425.582591,6,1,-1.013,0.639,1.287,-0.182
758,2,R3678,R2,MWQ,Focus,0,3,7.989215,9.314784,0.893892,1,3.314784,6,1,-0.019,0.579,2.663,0.327
777,2,R3678,R2,MWQ,Focus,0,3,90.954964,92.372631,1.143817,2,86.372631,6,1,0.262,0.074,2.181,0.736
801,2,R3678,R2,MWQ,Focus,0,2,187.888749,189.256361,2.102389,3,183.256361,6,1,-0.717,0.918,2.057,1.175
959,2,R3678,R3,MWQ,Focus,0,4,210.479381,211.805262,1.060282,3,205.805262,6,1,1.093,1.661,-1.813,0.434
980,2,R3678,R3,MWQ,Focus,0,2,300.59179,302.309652,0.218024,4,296.309652,6,1,-0.86,-0.813,-1.465,0.212
1005,2,R3678,R3,MWQ,Focus,0,2,399.977229,401.594943,1.210366,5,395.594943,6,1,-1.063,-0.85,1.452,1
1020,2,R3678,R3,MWQ,Focus,0,4,471.259943,472.877732,-0.115656,6,466.877732,6,1,1.724,1.573,0.336,-0.801
1073,2,R3678,R4,MWQ,Focus,0,2,45.114879,46.590601,1.302266,1,40.590601,6,1,-0.812,-0.435,2.04,1.346
1094,2,R3678,R4,MWQ,Focus,0,3,135.610893,136.986839,0.985154,2,130.986839,6,1,-0.781,-0.78,2.304,1.13
1280,3,R2595,R1,MWQ,Focus,0,2,294.437424,296.163693,0.893774,4,290.163693,6,1,-1.013,-0.54,0.913,1.172
1296,3,R2595,R1,MWQ,Focus,0,3,369.130838,370.756956,0.693622,5,364.756956,6,1,0.056,-2.351,0.799,0.119
1320,3,R2595,R1,MWQ,Focus,0,2,465.088918,466.715083,0.785376,6,460.715083,6,1,-0.082,-2.175,0.682,0.844
1369,3,R2595,R2,MWQ,Focus,0,2,27.7694,29.245111,1.260543,1,23.245111,6,1,-0.839,-1.708,-0.01,-0.872
1388,3,R2595,R2,MWQ,Focus,0,2,110.993658,112.719943,0.468238,2,106.719943,6,1,-0.317,-0.239,-0.703,-2.027
1527,2,R2595,R3,MWQ,Focus,0,2,48.592237,50.06793,1.327292,1,44.06793,6,1,0.67,-2.16,-0.216,-0.403
1726,3,R2595,R4,MWQ,Focus,0,3,271.571597,273.289465,-0.365755,4,267.289465,6,1,0.514,-2.678,-0.119,-0.567
1752,3,R2595,R4,MWQ,Focus,0,2,376.435822,377.753429,1.260026,5,371.753429,6,1,-1.019,-0.066,1.293,-0.595
1775,3,R2595,R4,MWQ,Focus,0,2,471.484943,473.011016,1.80242,6,467.011016,6,1,-0.866,-1.023,0.875,0.38
1914,4,R4052,R1,MWQ,Focus,0,3,435.010647,436.728515,0.017837,6,430.728515,6,1,-0.17,1.496,-1.164,0.601
2030,4,R4052,R2,MWQ,Focus,0,2,278.059695,279.735886,-0.023525,4,273.735886,6,1,-1.627,1.194,-0.631,-0.608
2045,4,R4052,R2,MWQ,Focus,0,1,349.659275,351.07695,0.301247,5,345.07695,6,1,-1.595,1.76,-1.584,-2.748
2071,4,R4052,R2,MWQ,Focus,0,1,454.148325,455.716072,0.109751,6,449.716072,6,1,-1.293,1.611,-1.354,-2.166
2129,4,R4052,R3,MWQ,Focus,0,1,42.288023,43.655303,-0.115458,1,37.655303,6,1,-2.817,2.014,-0.804,-0.132
2152,4,R4052,R3,MWQ,Focus,0,2,137.045529,138.721724,0.084529,2,132.721724,6,1,-1.071,0.761,-1.175,-0.158
2268,4,R4052,R4,MWQ,Focus,0,1,7.588999,8.964638,-0.09047,1,2.964638,6,1,-2.445,0.049,-1.374,-0.25
2286,4,R4052,R4,MWQ,Focus,0,1,88.311687,89.829415,-0.340871,2,83.829415,6,1,-2.437,1.325,-1.608,-0.974
2306,4,R4052,R4,MWQ,Focus,0,1,174.679909,176.047553,0.20106,3,170.047553,6,1,-1.582,1.333,-0.861,-0.621
2322,4,R4052,R4,MWQ,Focus,0,1,248.806354,250.382477,0.168024,4,244.382477,6,1,-1.953,1.984,-1.598,-1.72
2438,5,R4167,R1,MWQ,Focus,0,None,62.760521,64.486351,,1,58.486351,6,1,0.524,0.479,0.496,1.393
2453,5,R4167,R1,MWQ,Focus,0,1,134.927324,136.395015,1.176899,2,130.395015,6,1,-1.153,-0.285,0.121,-1.251
2569,5,R4167,R2,MWQ,Focus,0,4,5.170566,6.796315,-0.415468,1,0.796315,6,1,-0.07,-0.577,-0.351,1.361
2601,5,R4167,R2,MWQ,Focus,0,1,127.121913,128.789735,-0.624202,2,122.789735,6,1,-1.245,-0.119,-0.46,0.877
2811,5,R4167,R3,MWQ,Focus,0,4,381.20658,382.574258,-0.090759,5,376.574258,6,1,0.633,-0.059,-0.952,1.18
2826,5,R4167,R3,MWQ,Focus,0,3,452.898089,454.474282,0.067726,6,448.474282,6,1,0.157,-0.211,0.597,-0.388
2935,5,R4167,R4,MWQ,Focus,0,1,275.474918,276.892524,-0.332467,4,270.892524,6,1,-0.534,0.677,0.573,-0.575
2968,5,R4167,R4,MWQ,Focus,0,2,400.044813,401.470813,-0.099119,5,395.470813,6,1,-0.781,-0.474,-0.128,0.151
2984,5,R4167,R4,MWQ,Focus,0,3,473.529162,475.196972,-0.007155,6,469.196972,6,1,-0.302,0.183,-0.142,0.978
3099,6,R4047,R1,MWQ,Focus,0,2,339.994744,341.562496,0.71846,5,335.562496,6,1,-0.638,-0.528,-1.603,0.826
3124,6,R4047,R1,MWQ,Focus,0,3,442.182358,443.658414,0.859993,6,437.658414,6,1,-0.304,-0.512,-1.514,0.465
3174,6,R4047,R2,MWQ,Focus,0,3,8.039198,9.673374,0.043169,1,3.673374,6,1,-0.105,-0.713,-1.484,0.098
3200,6,R4047,R2,MWQ,Focus,0,2,112.411497,113.729088,0.676374,2,107.729088,6,1,-0.511,-0.432,-1.582,1.207
3352,6,R4047,R3,MWQ,Focus,0,3,88.303319,89.979069,-0.015074,1,83.979069,6,1,0.027,-0.258,-1.417,0.698
3367,6,R4047,R3,MWQ,Focus,0,3,159.752921,161.120547,0.693105,2,155.120547,6,1,0.088,-0.001,-1.396,0.289
3384,6,R4047,R3,MWQ,Focus,0,2,236.030806,237.398525,0.301265,3,231.398525,6,1,-0.648,-1.286,-1.397,2.188
3399,6,R4047,R3,MWQ,Focus,0,2,307.088533,308.75639,0.142904,4,302.75639,6,1,-0.665,-1.625,-1.525,2.132
3415,6,R4047,R3,MWQ,Focus,0,3,382.073886,383.750137,0.143271,5,377.750137,6,1,-0.32,-0.689,-1.473,1.566
3433,6,R4047,R3,MWQ,Focus,0,3,463.530504,464.84798,0.159509,6,458.84798,6,1,-0.143,0.202,-1.742,-0.31
3483,6,R4047,R4,MWQ,Focus,0,3,28.470037,30.09583,-0.090126,1,24.09583,6,1,0.324,0.048,-1.449,-0.021
3629,7,R3884,R1,MWQ,Focus,0,4,14.451946,15.827633,1.193743,1,9.82763300000001,6,1,0.422,1.63,-1.365,0.303
3649,7,R3884,R1,MWQ,Focus,0,4,100.620182,102.338011,0.076299,2,96.338011,6,1,0.974,1.265,-1.556,0.627
3840,7,R3884,R2,MWQ,Focus,0,3,272.597829,274.01549,-0.390715,4,268.01549,6,1,0.453,0.917,-1.635,0.611
3863,7,R3884,R2,MWQ,Focus,0,3,367.188475,368.906357,0.192963,5,362.906357,6,1,0.453,0.917,-1.635,0.611
3890,7,R3884,R2,MWQ,Focus,0,2,474.379542,475.805588,0.943286,6,469.805588,6,1,-0.27,1.102,-1.706,0.56
3939,7,R3884,R3,MWQ,Focus,0,2,37.059398,38.635103,-0.248565,1,32.635103,6,1,0.08,0.878,-1.714,0.622
3954,7,R3884,R3,MWQ,Focus,0,3,108.86756,110.393675,1.093426,2,104.393675,6,1,0.138,0.801,-1.614,0.625
3975,7,R3884,R3,MWQ,Focus,0,3,198.855036,200.281016,-0.307422,3,194.281016,6,1,0.418,1.257,-1.648,0.535
4157,7,R3884,R4,MWQ,Focus,0,3,316.795144,318.16276,0.484713,4,312.16276,6,1,0.453,0.917,-1.635,0.611
4177,7,R3884,R4,MWQ,Focus,0,3,402.39621,404.11408,0.276391,5,398.11408,6,1,0.104,1.141,-1.627,0.549
4192,7,R3884,R4,MWQ,Focus,0,3,474.396194,475.972284,-0.62438,6,469.972284,6,1,0.104,1.141,-1.627,0.549
4284,8,R3946,R1,MWQ,Focus,0,3,219.644273,221.111942,-0.124072,3,215.111942,6,1,-0.187,1.409,-0.655,0.003
4300,8,R3946,R1,MWQ,Focus,0,2,293.312019,294.779723,0.818241,4,288.779723,6,1,-0.642,-0.038,0.017,-0.548
4328,8,R3946,R1,MWQ,Focus,0,4,402.687906,404.163955,-0.849614,5,398.163955,6,1,-0.248,1.055,-0.892,1.196
4343,8,R3946,R1,MWQ,Focus,0,2,474.29592,475.913718,-0.048952,6,469.913718,6,1,0.144,0.885,0.42,-0.103
4390,8,R3946,R2,MWQ,Focus,0,3,31.355481,33.031261,0.527133,1,27.031261,6,1,0.167,-0.465,1.787,-1.074
