unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,actual_RT,Probe,MW_onsets,duration,MVPA_weight,Task_PC,Detail_PC,Modality_PC,Emotion_PC
73,1,R3262,R1,MWQ,Focus,1,3,295.930642,297.506794,0.501399,4,291.506794,6,1,-0.55,0.869,0.021,0.278
88,1,R3262,R1,MWQ,Focus,1,2,367.688949,369.365114,0.326493,5,363.365114,6,1,-0.77,1.486,0.173,0.998
103,1,R3262,R1,MWQ,Focus,1,2,439.488858,441.1567,-0.048491,6,435.1567,6,1,-0.777,-0.378,0.688,0.852
154,1,R3262,R2,MWQ,Focus,1,2,7.572199,9.056226,0.051362,1,3.056226,6,1,-0.697,0.264,0.312,0.615
169,1,R3262,R2,MWQ,Focus,1,2,78.996778,80.7146,-0.157218,2,74.7146,6,1,-0.486,0.66,0.84,0.667
369,1,R3262,R3,MWQ,Focus,1,1,278.01835,279.335991,-0.048765,4,273.335991,6,1,-1.714,-0.393,0.028,1.089
384,1,R3262,R3,MWQ,Focus,1,1,349.709842,351.035802,-0.024069,5,345.035802,6,1,-1.4,0.087,-0.491,-0.111
399,1,R3262,R3,MWQ,Focus,1,2,421.409646,422.935705,-0.15745,6,416.935705,6,1,-1.017,-0.56,0.128,1.273
455,1,R3262,R4,MWQ,Focus,1,1,5.120577,6.646299,-0.265526,1,0.646298999999999,6,1,-0.588,0.438,-0.015,0.978
473,1,R3262,R4,MWQ,Focus,1,2,86.035017,87.552806,-0.224029,2,81.552806,6,1,-0.835,0.099,0.147,0.91
488,1,R3262,R4,MWQ,Focus,1,2,157.884971,159.502717,-0.524123,3,153.502717,6,1,-0.847,0.163,0.118,0.755
503,1,R3262,R4,MWQ,Focus,1,1,229.826577,231.552847,-0.665916,4,225.552847,6,1,-0.872,1.225,0.951,-0.02
523,1,R3262,R4,MWQ,Focus,1,1,315.002423,316.6703,-0.741052,5,310.6703,6,1,-1.082,0.234,1.127,0.971
612,2,R3678,R1,MWQ,Focus,1,4,23.216344,24.692136,1.085353,1,18.692136,6,1,0.066,1.427,0.334,1.26
631,2,R3678,R1,MWQ,Focus,1,3,107.199593,108.575566,0.876591,2,102.575566,6,1,0.367,0.805,0.236,-0.007
651,2,R3678,R1,MWQ,Focus,1,4,192.600394,193.917995,0.584627,3,187.917995,6,1,1.577,1.538,-1.369,0.343
830,2,R3678,R2,MWQ,Focus,1,4,301.575764,303.293641,0.693574,4,297.293641,6,1,0.378,-0.261,0.533,-0.188
855,2,R3678,R2,MWQ,Focus,1,3,402.103708,403.67114,1.110493,5,397.67114,6,1,-0.534,-0.06,1.612,-0.784
870,2,R3678,R2,MWQ,Focus,1,4,473.64488,475.270967,1.102315,6,469.270967,6,1,1.026,2.006,-1.433,0.125
911,2,R3678,R3,MWQ,Focus,1,3,14.40195,15.777543,0.343238,1,9.77754299999999,6,1,-0.268,-0.459,1.079,1.772
930,2,R3678,R3,MWQ,Focus,1,4,97.592528,99.11057,0.74325,2,93.11057,6,1,-0.65,-0.413,-0.711,-2.835
1112,2,R3678,R4,MWQ,Focus,1,4,214.890728,216.216693,0.134294,3,210.216693,6,1,1.986,1.866,2.085,-1.161
1127,2,R3678,R4,MWQ,Focus,1,3,286.440221,287.958022,0.95173,4,281.958022,6,1,-1.157,-0.162,0.487,-2.043
1150,2,R3678,R4,MWQ,Focus,1,3,382.373285,383.740977,1.226778,5,377.740977,6,1,-0.457,2.372,1.021,-1.38
1172,2,R3678,R4,MWQ,Focus,1,4,474.053487,475.721315,-0.607619,6,469.721315,6,1,1.522,1.988,-1.186,0.108
1215,3,R2595,R1,MWQ,Focus,1,4,18.980096,20.706002,0.927079,1,14.706002,6,1,1.468,-1.77,-1.155,-0.499
