unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixStart_offset,stimStart_offset,counter,Task_PC,Detail_PC,Modality_PC,Emotion_PC
62,1,R3262,R1,NT,NT,1,None,265.759713,268.486472,0,,,,
63,1,R3262,R1,NT,NT,1,None,268.494948,270.980485,2.494013,,,,
64,1,R3262,R1,NT,NT,1,None,270.988312,273.265054,4.778582,,,,
65,1,R3262,R1,NT,NT,1,None,273.273221,275.900269,7.413797,,,,
66,1,R3262,R1,TT,TT,1,right,275.908404,277.434467,8.947995,,,,
67,1,R3262,R1,NT,NT,1,None,279.7027,281.9711,0,,,,
68,1,R3262,R1,NT,NT,1,None,281.979268,284.848173,2.877073,,,,
69,1,R3262,R1,TT,TT,1,left,284.856267,286.482397,4.511297,,,,
70,1,R3262,R1,NT,NT,1,None,288.650604,291.419395,0,,,,
71,1,R3262,R1,NT,NT,1,None,291.427524,293.595803,2.176408,,,,
72,1,R3262,R1,NT,NT,1,None,293.603996,295.922387,4.502992,,,,
73,1,R3262,R1,MWQ,Focus,1,3,295.930642,297.506794,,-0.55,0.869,0.021,0.278
86,1,R3262,R1,NT,NT,1,None,362.468627,364.744891,0,,,,
87,1,R3262,R1,NT,NT,1,None,364.753569,367.680875,2.935984,,,,
88,1,R3262,R1,MWQ,Focus,1,2,367.688949,369.365114,,-0.77,1.486,0.173,0.998
101,1,R3262,R1,NT,NT,1,None,434.326961,436.803409,0,,,,
102,1,R3262,R1,NT,NT,1,None,436.811986,439.480658,2.677249,,,,
103,1,R3262,R1,MWQ,Focus,1,2,439.488858,441.1567,,-0.777,-0.378,0.688,0.852
116,1,R3262,R1,NT,NT,1,None,506.118547,508.695045,0,,,,
117,1,R3262,R1,NT,NT,1,None,508.703643,511.430806,2.735761,,,,
118,1,R3262,R1,NT,NT,1,None,511.438899,513.857418,5.162373,,,,
119,1,R3262,R1,NT,NT,1,None,513.865579,516.442591,7.747546,,,,
120,1,R3262,R1,TT,TT,1,right,516.450706,518.068501,9.373456,,,,
121,1,R3262,R1,NT,NT,1,None,520.486874,523.255666,0,,,,
122,1,R3262,R1,NT,NT,1,None,523.263781,525.932539,2.676873,,,,
123,1,R3262,R1,TT,TT,1,right,525.940635,527.258226,4.00256,,,,
124,1,R3262,R1,NT,NT,1,None,529.526485,532.253586,0,,,,
125,1,R3262,R1,NT,NT,1,None,532.26161,534.830353,2.576767,,,,
126,1,R3262,R1,NT,NT,1,None,534.83849,537.35705,5.103464,,,,
127,1,R3262,R1,TT,TT,1,right,537.365227,539.033007,6.779421,,,,
128,1,R3262,R1,NT,NT,1,None,541.551523,544.120128,0,,,,
151,1,R3262,R2,NT,NT,1,None,0,2.676867,0,,,,
152,1,R3262,R2,NT,NT,1,None,2.685423,4.928776,2.251909,,,,
153,1,R3262,R2,NT,NT,1,None,4.936999,7.564064,4.887197,,,,
154,1,R3262,R2,MWQ,Focus,1,2,7.572199,9.056226,,-0.697,0.264,0.312,0.615
167,1,R3262,R2,NT,NT,1,None,74.018328,76.294616,0,,,,
168,1,R3262,R2,NT,NT,1,None,76.303203,78.98864,2.694024,,,,
169,1,R3262,R2,MWQ,Focus,1,2,78.996778,80.7146,,-0.486,0.66,0.84,0.667
182,1,R3262,R2,NT,NT,1,None,145.676441,148.503206,0,,,,
183,1,R3262,R2,NT,NT,1,None,148.511717,151.130395,2.627189,,,,
184,1,R3262,R2,NT,NT,1,None,151.13848,153.557052,5.053846,,,,
185,1,R3262,R2,TT,TT,1,right,153.565231,155.191372,6.688166,,,,
186,1,R3262,R2,NT,NT,1,None,157.609691,160.178318,0,,,,
187,1,R3262,R2,NT,NT,1,None,160.186384,162.763511,2.585193,,,,
188,1,R3262,R2,NT,NT,1,None,162.771626,165.398637,5.220319,,,,
189,1,R3262,R2,TT,TT,1,left,165.406741,166.882744,6.704426,,,,
190,1,R3262,R2,NT,NT,1,None,169.201068,171.569539,0,,,,
191,1,R3262,R2,NT,NT,1,None,171.577713,174.19635,2.626811,,,,
192,1,R3262,R2,NT,NT,1,None,174.20456,176.68146,5.111921,,,,
193,1,R3262,R2,TT,TT,1,right,176.689621,178.25737,6.687831,,,,
194,1,R3262,R2,NT,NT,1,None,180.575651,183.302769,0,,,,
195,1,R3262,R2,NT,NT,1,None,183.310837,185.679277,2.376508,,,,
196,1,R3262,R2,TT,TT,1,right,185.687508,187.12186,3.819091,,,,
197,1,R3262,R2,NT,NT,1,None,189.490196,192.20883,0,,,,
198,1,R3262,R2,NT,NT,1,None,192.217035,194.585512,2.376682,,,,
199,1,R3262,R2,TT,TT,1,left,194.593697,195.978019,3.769189,,,,
200,1,R3262,R2,NT,NT,1,None,198.346323,200.864928,0,,,,
201,1,R3262,R2,NT,NT,1,None,200.873062,203.491699,2.626771,,,,
367,1,R3262,R3,NT,NT,1,None,272.748109,275.574833,0,,,,
368,1,R3262,R3,NT,NT,1,None,275.583274,278.010155,2.435322,,,,
369,1,R3262,R3,MWQ,Focus,1,1,278.01835,279.335991,,-1.714,-0.393,0.028,1.089
382,1,R3262,R3,NT,NT,1,None,344.297765,346.874297,0,,,,
383,1,R3262,R3,NT,NT,1,None,346.882878,349.701748,2.827451,,,,
384,1,R3262,R3,MWQ,Focus,1,1,349.709842,351.035802,,-1.4,0.087,-0.491,-0.111
397,1,R3262,R3,NT,NT,1,None,415.997551,418.824319,0,,,,
398,1,R3262,R3,NT,NT,1,None,418.832782,421.40154,2.577221,,,,
399,1,R3262,R3,MWQ,Focus,1,2,421.409646,422.935705,,-1.017,-0.56,0.128,1.273
412,1,R3262,R3,NT,NT,1,None,487.897475,490.374043,0,,,,
413,1,R3262,R3,NT,NT,1,None,490.382516,493.001206,2.627163,,,,
414,1,R3262,R3,NT,NT,1,None,493.009315,495.67811,5.304067,,,,
415,1,R3262,R3,TT,TT,1,left,495.6862,497.16224,6.788197,,,,
416,1,R3262,R3,NT,NT,1,None,499.680662,502.357732,0,,,,
417,1,R3262,R3,NT,NT,1,None,502.365871,505.184754,2.827022,,,,
418,1,R3262,R3,NT,NT,1,None,505.192826,507.869734,5.512002,,,,
419,1,R3262,R3,TT,TT,1,left,507.878004,509.504154,7.146422,,,,
420,1,R3262,R3,NT,NT,1,None,511.672338,514.290962,0,,,,
421,1,R3262,R3,NT,NT,1,None,514.299121,516.867804,2.576842,,,,
422,1,R3262,R3,TT,TT,1,right,516.875936,518.293595,4.002633,,,,
423,1,R3262,R3,NT,NT,1,None,520.812002,523.480747,0,,,,
424,1,R3262,R3,NT,NT,1,None,523.488886,525.807269,2.326522,,,,
425,1,R3262,R3,NT,NT,1,None,525.81546,528.142333,4.661586,,,,
426,1,R3262,R3,TT,TT,1,right,528.15041,529.526381,6.045634,,,,
427,1,R3262,R3,NT,NT,1,None,532.044781,534.513361,0,,,,
