unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
72,R3262,4.502992,-0.55,0.869,0.021,0.278
87,R3262,2.935984,-0.77,1.486,0.173,0.998
102,R3262,2.677249,-0.777,-0.378,0.688,0.852
153,R3262,4.887197,-0.697,0.264,0.312,0.615
168,R3262,2.694024,-0.486,0.66,0.84,0.667
368,R3262,2.435322,-1.714,-0.393,0.028,1.089
383,R3262,2.827451,-1.4,0.087,-0.491,-0.111
398,R3262,2.577221,-1.017,-0.56,0.128,1.273
454,R3262,2.585586,-0.588,0.438,-0.015,0.978
472,R3262,2.635131,-0.835,0.099,0.147,0.91
487,R3262,2.485431,-0.847,0.163,0.118,0.755
502,R3262,2.727323,-0.872,1.225,0.951,-0.02
522,R3262,4.86174,-1.082,0.234,1.127,0.971
611,R3678,2.426485,0.066,1.427,0.334,1.26
630,R3678,2.885411,0.367,0.805,0.236,-0.007
650,R3678,2.376563,1.577,1.538,-1.369,0.343
829,R3678,5.211867,0.378,-0.261,0.533,-0.188
854,R3678,2.476371,-0.534,-0.06,1.612,-0.784
869,R3678,2.62729,1.026,2.006,-1.433,0.125
910,R3678,2.676866,-0.268,-0.459,1.079,1.772
929,R3678,2.276549,-0.65,-0.413,-0.711,-2.835
1111,R3678,4.503442,1.986,1.866,2.085,-1.161
1126,R3678,2.577144,-1.157,-0.162,0.487,-2.043
1149,R3678,2.685181,-0.457,2.372,1.021,-1.38
1171,R3678,2.784989,1.522,1.988,-1.186,0.108
1214,R2595,7.346735,1.468,-1.77,-1.155,-0.499
1232,R2595,2.376568,0.754,-1.545,-1.528,-1.911
1251,R2595,2.635183,1.209,-2.433,-1.113,-0.361
1413,R2595,7.747327,0.665,-2.324,-0.645,-0.425
1428,R2595,2.727011,1.819,-1.698,-1.134,-0.322
1455,R2595,2.426562,0.366,-0.389,-0.337,-2.347
1473,R2595,2.526541,0.771,-2.158,0.57,-0.932
1550,R2595,2.376983,-0.41,-2.249,-0.262,-0.774
1576,R2595,5.06188,0.836,-2.472,-1.192,-0.35
1591,R2595,2.635609,1.209,-2.433,-1.113,-0.361
1608,R2595,7.98933,1.287,-1.859,-1.065,-0.023
1623,R2595,2.426947,1.501,-1.859,-0.587,-0.423
1673,R2595,2.77701,1.357,-2.124,-1.113,-0.334
1688,R2595,2.727217,1.209,-2.433,-1.113,-0.361
1706,R2595,2.585176,1.357,-2.124,-1.113,-0.334
1823,R4052,4.811612,0.511,2.004,-1.306,-1.543
1838,R4052,2.335318,-0.568,2.674,-1.531,-2.75
1854,R4052,5.053858,0.98,2.443,-1.178,-1.217
1870,R4052,4.812114,0.98,2.443,-1.178,-1.217
1885,R4052,2.727274,1.083,1.423,-1.138,-0.988
1964,R4052,2.827389,1.083,1.423,-1.138,-0.988
1984,R4052,7.680215,0.869,1.764,-0.997,-0.294
2000,R4052,4.853665,0.394,1.075,-0.726,0.289
2171,R4052,2.835335,-1.553,2.034,-0.835,-0.648
2190,R4052,5.261894,0.713,2.392,-1.372,-1.928
2212,R4052,2.826955,-0.608,1.841,-1.086,-1.497
2227,R4052,2.527204,-0.277,2.427,-1.617,-1.629
2351,R4052,2.626775,-1.215,1.998,-1.435,-0.278
2375,R4052,7.830435,-1.231,1.724,-0.943,0.101
2470,R4167,2.685585,-0.281,0.567,-0.54,1.15
2485,R4167,2.235291,-0.579,0.325,0.133,0.834
2504,R4167,5.503769,-0.559,0.245,0.108,1.129
