unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
0,1,R3262,R1,NT,NT,0,None,1.5,0.8,Stimuli/0B_N_triangle_square.png,None,0,2.335039,True
1,1,R3262,R1,NT,NT,0,None,1.7,1,Stimuli/0B_N_circle_square.png,None,2.343537,5.070567,True
2,1,R3262,R1,NT,NT,0,None,1.65,1.05,Stimuli/0B_N_circle_triangle.png,None,5.078847,7.805979,True
3,1,R3262,R1,TT,TT,0,left,1.55,2.25,Stimuli/0B_T_L_square_circle.png,left,7.814077,9.381766,True
4,1,R3262,R1,NT,NT,0,None,1.6,1.15,Stimuli/0B_N_circle_square.png,None,11.65003,14.435572,True
5,1,R3262,R1,NT,NT,0,None,1.5,0.8,Stimuli/0B_N_square_circle.png,None,14.443649,16.770416,True
19,1,R3262,R1,NT,NT,0,None,1.55,1.2,Stimuli/0B_N_square_circle.png,None,83.057939,85.843033,True
20,1,R3262,R1,NT,NT,0,None,1.45,0.95,Stimuli/0B_N_square_circle.png,None,85.851537,88.278378,True
21,1,R3262,R1,TT,TT,0,left,1.5,2.3,Stimuli/0B_T_L_circle_triangle.png,left,88.286548,89.812621,True
22,1,R3262,R1,NT,NT,0,None,1.4,1.1,Stimuli/0B_N_square_triangle.png,None,92.130897,94.666215,True
23,1,R3262,R1,NT,NT,0,None,1.7,1.05,Stimuli/0B_N_triangle_square.png,None,94.674323,97.459827,True
24,1,R3262,R1,NT,NT,0,None,1.65,0.8,Stimuli/0B_N_triangle_square.png,None,97.467938,99.953019,True
25,1,R3262,R1,TT,TT,0,left,1.45,2.5,Stimuli/0B_T_L_triangle_circle.png,left,99.961311,101.437287,True
26,1,R3262,R1,NT,NT,0,None,1.35,0.9,Stimuli/0B_N_triangle_square.png,None,103.955752,106.224187,True
27,1,R3262,R1,NT,NT,0,None,1.7,0.95,Stimuli/0B_N_square_triangle.png,None,106.232325,108.909374,True
41,1,R3262,R1,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_circle_triangle.png,None,175.455382,178.290501,True
42,1,R3262,R1,NT,NT,0,None,1.65,1.2,Stimuli/0B_N_square_triangle.png,None,178.298664,181.175826,True
43,1,R3262,R1,NT,NT,0,None,1.6,1.2,Stimuli/0B_N_square_circle.png,None,181.184295,184.003248,True
44,1,R3262,R1,TT,TT,0,right,1.5,2.3,Stimuli/0B_T_R_square_triangle.png,right,184.011302,185.537362,True
45,1,R3262,R1,NT,NT,0,None,1.55,1.1,Stimuli/0B_N_circle_triangle.png,None,187.855635,190.524401,True
46,1,R3262,R1,NT,NT,0,None,1.55,0.9,Stimuli/0B_N_circle_square.png,None,190.532511,193.009372,True
60,1,R3262,R1,NT,NT,0,None,1.6,0.85,Stimuli/0B_N_square_triangle.png,None,259.555402,262.031819,True
203,1,R3262,R2,NT,NT,0,None,1.3,1.05,Stimuli/0B_N_triangle_circle.png,None,207.119103,209.495518,True
204,1,R3262,R2,NT,NT,0,None,1.7,1.15,Stimuli/0B_N_triangle_circle.png,None,209.504075,212.389545,True
205,1,R3262,R2,TT,TT,0,right,1.5,2.25,Stimuli/0B_T_R_triangle_square.png,right,212.397771,213.932149,True
206,1,R3262,R2,NT,NT,0,None,1.4,0.9,Stimuli/0B_N_square_circle.png,None,216.200392,218.518824,True
207,1,R3262,R2,NT,NT,0,None,1.5,1.15,Stimuli/0B_N_square_circle.png,None,218.526988,221.203992,True
208,1,R3262,R2,TT,TT,0,left,1.65,2.45,Stimuli/0B_T_L_square_circle.png,left,221.212204,222.879995,True
209,1,R3262,R2,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_triangle_square.png,None,225.348436,228.175554,True
210,1,R3262,R2,NT,NT,0,None,1.7,1.05,Stimuli/0B_N_circle_triangle.png,None,228.183707,230.960852,True
224,1,R3262,R2,NT,NT,0,None,1.55,1,Stimuli/0B_N_circle_square.png,None,297.398343,299.974949,True
225,1,R3262,R2,NT,NT,0,None,1.55,1.1,Stimuli/0B_N_triangle_square.png,None,299.983562,302.652304,True
226,1,R3262,R2,TT,TT,0,left,1.6,2.1,Stimuli/0B_T_L_square_triangle.png,left,302.660419,304.278213,True
227,1,R3262,R2,NT,NT,0,None,1.6,1.05,Stimuli/0B_N_triangle_square.png,None,306.39637,309.065048,True
228,1,R3262,R2,NT,NT,0,None,1.5,1.05,Stimuli/0B_N_circle_triangle.png,None,309.073187,311.641911,True
229,1,R3262,R2,TT,TT,0,left,1.55,2.3,Stimuli/0B_T_L_triangle_circle.png,left,311.650025,313.226099,True
230,1,R3262,R2,NT,NT,0,None,1.45,1.2,Stimuli/0B_N_triangle_circle.png,None,315.544373,318.213147,True
231,1,R3262,R2,NT,NT,0,None,1.55,1.1,Stimuli/0B_N_triangle_circle.png,None,318.221231,320.889967,True
245,1,R3262,R2,NT,NT,0,None,1.45,0.9,Stimuli/0B_N_circle_square.png,None,387.285865,389.662249,True
246,1,R3262,R2,NT,NT,0,None,1.5,1,Stimuli/0B_N_square_circle.png,None,389.670823,392.197784,True
