unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,Correct
62,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_square_triangle.png,None,265.759713,268.486472,True
63,1,R3262,R1,NT,NT,1,None,1.55,0.85,Stimuli/nB_N_triangle_circle.png,None,268.494948,270.980485,True
64,1,R3262,R1,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_square_circle.png,None,270.988312,273.265054,True
65,1,R3262,R1,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_square_triangle.png,None,273.273221,275.900269,True
66,1,R3262,R1,TT,TT,1,right,1.5,2.25,Stimuli/nB_T_TRIANGLE.png,right,275.908404,277.434467,True
67,1,R3262,R1,NT,NT,1,None,1.3,0.95,Stimuli/nB_N_circle_square.png,None,279.7027,281.9711,True
68,1,R3262,R1,NT,NT,1,None,1.65,1.2,Stimuli/nB_N_circle_triangle.png,None,281.979268,284.848173,True
69,1,R3262,R1,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_CIRCLE.png,left,284.856267,286.482397,True
70,1,R3262,R1,NT,NT,1,None,1.7,1.05,Stimuli/nB_N_triangle_square.png,None,288.650604,291.419395,True
71,1,R3262,R1,NT,NT,1,None,1.3,0.85,Stimuli/nB_N_triangle_circle.png,None,291.427524,293.595803,True
72,1,R3262,R1,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_triangle_square.png,None,293.603996,295.922387,True
86,1,R3262,R1,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_triangle_circle.png,None,362.468627,364.744891,True
87,1,R3262,R1,NT,NT,1,None,1.7,1.2,Stimuli/nB_N_circle_square.png,None,364.753569,367.680875,True
101,1,R3262,R1,NT,NT,1,None,1.55,0.9,Stimuli/nB_N_circle_square.png,None,434.326961,436.803409,True
102,1,R3262,R1,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_circle_square.png,None,436.811986,439.480658,True
116,1,R3262,R1,NT,NT,1,None,1.65,0.9,Stimuli/nB_N_square_triangle.png,None,506.118547,508.695045,True
117,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_circle_square.png,None,508.703643,511.430806,True
118,1,R3262,R1,NT,NT,1,None,1.4,1.0,Stimuli/nB_N_triangle_square.png,None,511.438899,513.857418,True
119,1,R3262,R1,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,513.865579,516.442591,True
120,1,R3262,R1,TT,TT,1,right,1.6,2.4,Stimuli/nB_T_TRIANGLE.png,right,516.450706,518.068501,True
121,1,R3262,R1,NT,NT,1,None,1.65,1.1,Stimuli/nB_N_circle_triangle.png,None,520.486874,523.255666,True
122,1,R3262,R1,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_circle.png,None,523.263781,525.932539,True
123,1,R3262,R1,TT,TT,1,right,1.3,2.25,Stimuli/nB_T_CIRCLE.png,right,525.940635,527.258226,True
124,1,R3262,R1,NT,NT,1,None,1.55,1.15,Stimuli/nB_N_triangle_square.png,None,529.526485,532.253586,True
125,1,R3262,R1,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_circle_square.png,None,532.26161,534.830353,True
126,1,R3262,R1,NT,NT,1,None,1.65,0.85,Stimuli/nB_N_triangle_square.png,None,534.83849,537.35705,True
127,1,R3262,R1,TT,TT,1,right,1.65,2.5,Stimuli/nB_T_SQUARE.png,right,537.365227,539.033007,True
128,1,R3262,R1,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_triangle_circle.png,None,541.551523,544.120128,True
151,1,R3262,R2,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_square_triangle.png,None,0.0,2.676867,True
152,1,R3262,R2,NT,NT,1,None,1.3,0.9,Stimuli/nB_N_triangle_circle.png,None,2.685423,4.928776,True
153,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_square_circle.png,None,4.936999,7.564064,True
167,1,R3262,R2,NT,NT,1,None,1.4,0.85,Stimuli/nB_N_square_triangle.png,None,74.018328,76.294616,True
168,1,R3262,R2,NT,NT,1,None,1.5,1.15,Stimuli/nB_N_square_triangle.png,None,76.303203,78.98864,True
182,1,R3262,R2,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_triangle_circle.png,None,145.676441,148.503206,True
183,1,R3262,R2,NT,NT,1,None,1.45,1.15,Stimuli/nB_N_triangle_circle.png,None,148.511717,151.130395,True
184,1,R3262,R2,NT,NT,1,None,1.5,0.9,Stimuli/nB_N_triangle_square.png,None,151.13848,153.557052,True
185,1,R3262,R2,TT,TT,1,right,1.6,2.4,Stimuli/nB_T_SQUARE.png,right,153.565231,155.191372,True
186,1,R3262,R2,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_triangle_circle.png,None,157.609691,160.178318,True
187,1,R3262,R2,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_triangle_square.png,None,160.186384,162.763511,True
188,1,R3262,R2,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_triangle.png,None,162.771626,165.398637,True
189,1,R3262,R2,TT,TT,1,left,1.45,2.3,Stimuli/nB_T_CIRCLE.png,left,165.406741,166.882744,True
190,1,R3262,R2,NT,NT,1,None,1.4,0.95,Stimuli/nB_N_triangle_circle.png,None,169.201068,171.569539,True
191,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_triangle_square.png,None,171.577713,174.19635,True
192,1,R3262,R2,NT,NT,1,None,1.55,0.9,Stimuli/nB_N_circle_triangle.png,None,174.20456,176.68146,True
193,1,R3262,R2,TT,TT,1,right,1.55,2.3,Stimuli/nB_T_TRIANGLE.png,right,176.689621,178.25737,True
194,1,R3262,R2,NT,NT,1,None,1.5,1.2,Stimuli/nB_N_square_circle.png,None,180.575651,183.302769,True
195,1,R3262,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_square_circle.png,None,183.310837,185.679277,True
196,1,R3262,R2,TT,TT,1,right,1.4,2.35,Stimuli/nB_T_CIRCLE.png,right,185.687508,187.12186,True
197,1,R3262,R2,NT,NT,1,None,1.65,1.05,Stimuli/nB_N_square_circle.png,None,189.490196,192.20883,True
198,1,R3262,R2,NT,NT,1,None,1.55,0.8,Stimuli/nB_N_triangle_square.png,None,192.217035,194.585512,True
199,1,R3262,R2,TT,TT,1,left,1.35,2.35,Stimuli/nB_T_TRIANGLE.png,left,194.593697,195.978019,True
200,1,R3262,R2,NT,NT,1,None,1.55,0.95,Stimuli/nB_N_square_triangle.png,None,198.346323,200.864928,True
201,1,R3262,R2,NT,NT,1,None,1.6,1.0,Stimuli/nB_N_circle_triangle.png,None,200.873062,203.491699,True
367,1,R3262,R3,NT,NT,1,None,1.7,1.1,Stimuli/nB_N_square_triangle.png,None,272.748109,275.574833,True
368,1,R3262,R3,NT,NT,1,None,1.6,0.8,Stimuli/nB_N_square_triangle.png,None,275.583274,278.010155,True
382,1,R3262,R3,NT,NT,1,None,1.5,1.05,Stimuli/nB_N_triangle_circle.png,None,344.297765,346.874297,True
383,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_circle_triangle.png,None,346.882878,349.701748,True
397,1,R3262,R3,NT,NT,1,None,1.65,1.15,Stimuli/nB_N_square_circle.png,None,415.997551,418.824319,True
398,1,R3262,R3,NT,NT,1,None,1.55,1.0,Stimuli/nB_N_circle_triangle.png,None,418.832782,421.40154,True
412,1,R3262,R3,NT,NT,1,None,1.3,1.15,Stimuli/nB_N_square_triangle.png,None,487.897475,490.374043,True
413,1,R3262,R3,NT,NT,1,None,1.65,0.95,Stimuli/nB_N_circle_square.png,None,490.382516,493.001206,True
414,1,R3262,R3,NT,NT,1,None,1.45,1.2,Stimuli/nB_N_triangle_square.png,None,493.009315,495.67811,True
415,1,R3262,R3,TT,TT,1,left,1.45,2.5,Stimuli/nB_T_TRIANGLE.png,left,495.6862,497.16224,True
416,1,R3262,R3,NT,NT,1,None,1.65,1.0,Stimuli/nB_N_circle_triangle.png,None,499.680662,502.357732,True
417,1,R3262,R3,NT,NT,1,None,1.6,1.2,Stimuli/nB_N_triangle_square.png,None,502.365871,505.184754,True
418,1,R3262,R3,NT,NT,1,None,1.7,0.95,Stimuli/nB_N_circle_triangle.png,None,505.192826,507.869734,True
419,1,R3262,R3,TT,TT,1,left,1.6,2.15,Stimuli/nB_T_CIRCLE.png,left,507.878004,509.504154,True
420,1,R3262,R3,NT,NT,1,None,1.7,0.9,Stimuli/nB_N_triangle_circle.png,None,511.672338,514.290962,True
421,1,R3262,R3,NT,NT,1,None,1.4,1.15,Stimuli/nB_N_square_triangle.png,None,514.299121,516.867804,True
422,1,R3262,R3,TT,TT,1,right,1.4,2.5,Stimuli/nB_T_TRIANGLE.png,right,516.875936,518.293595,True
423,1,R3262,R3,NT,NT,1,None,1.6,1.05,Stimuli/nB_N_square_triangle.png,None,520.812002,523.480747,True
424,1,R3262,R3,NT,NT,1,None,1.5,0.8,Stimuli/nB_N_circle_square.png,None,523.488886,525.807269,True
425,1,R3262,R3,NT,NT,1,None,1.4,0.9,Stimuli/nB_N_circle_triangle.png,None,525.81546,528.142333,True
426,1,R3262,R3,TT,TT,1,right,1.35,2.5,Stimuli/nB_T_TRIANGLE.png,right,528.15041,529.526381,True
427,1,R3262,R3,NT,NT,1,None,1.5,0.95,Stimuli/nB_N_circle_triangle.png,None,532.044781,534.513361,True
