,unique_ID,IDNO,RNUM,RUN,stimType,mwType,nBack,keyResp,fixT,stimT,stimPic,Ans,fixStart_offset,stimStart_offset,counter
0,0,1,R3262,R1,NT,NT,0,None,1.5,0.8,Stimuli/0B_N_triangle_square.png,None,0.0,2.335039,0.0
1,1,1,R3262,R1,NT,NT,0,None,1.7,1.0,Stimuli/0B_N_circle_square.png,None,2.343537,5.070567,2.735528
2,2,1,R3262,R1,NT,NT,0,None,1.65,1.05,Stimuli/0B_N_circle_triangle.png,None,5.078847,7.805979,5.47094
3,3,1,R3262,R1,TT,TT,0,left,1.55,2.25,Stimuli/0B_T_L_square_circle.png,right,7.814077,9.381766,7.046727
4,4,1,R3262,R1,NT,NT,0,None,1.6,1.15,Stimuli/0B_N_circle_square.png,None,11.65003,14.435572,0.0
5,5,1,R3262,R1,NT,NT,0,None,1.5,0.8,Stimuli/0B_N_square_circle.png,None,14.443649,16.770416,2.334844
6,19,1,R3262,R1,NT,NT,0,None,1.55,1.2,Stimuli/0B_N_square_circle.png,None,83.057939,85.843033,0.0
7,20,1,R3262,R1,NT,NT,0,None,1.45,0.95,Stimuli/0B_N_square_circle.png,None,85.851537,88.278378,2.435345
8,21,1,R3262,R1,TT,TT,0,left,1.5,2.3,Stimuli/0B_T_L_circle_triangle.png,right,88.286548,89.812621,3.969588
9,22,1,R3262,R1,NT,NT,0,None,1.4,1.1,Stimuli/0B_N_square_triangle.png,None,92.130897,94.666215,0.0
10,23,1,R3262,R1,NT,NT,0,None,1.7,1.05,Stimuli/0B_N_triangle_square.png,None,94.674323,97.459827,2.793612
11,24,1,R3262,R1,NT,NT,0,None,1.65,0.8,Stimuli/0B_N_triangle_square.png,None,97.467938,99.953019,5.286804
12,25,1,R3262,R1,TT,TT,0,left,1.45,2.5,Stimuli/0B_T_L_triangle_circle.png,right,99.961311,101.437287,6.771072
13,26,1,R3262,R1,NT,NT,0,None,1.35,0.9,Stimuli/0B_N_triangle_square.png,None,103.955752,106.224187,0.0
14,27,1,R3262,R1,NT,NT,0,None,1.7,0.95,Stimuli/0B_N_square_triangle.png,None,106.232325,108.909374,2.685187
15,41,1,R3262,R1,NT,NT,0,None,1.7,1.1,Stimuli/0B_N_circle_triangle.png,None,175.455382,178.290501,0.0
16,42,1,R3262,R1,NT,NT,0,None,1.65,1.2,Stimuli/0B_N_square_triangle.png,None,178.298664,181.175826,2.885325
17,43,1,R3262,R1,NT,NT,0,None,1.6,1.2,Stimuli/0B_N_square_circle.png,None,181.184295,184.003248,5.712747
18,44,1,R3262,R1,TT,TT,0,right,1.5,2.3,Stimuli/0B_T_R_square_triangle.png,right,184.011302,185.537362,7.246861
19,45,1,R3262,R1,NT,NT,0,None,1.55,1.1,Stimuli/0B_N_circle_triangle.png,None,187.855635,190.524401,0.0
