Gradient1,Gradient2,Gradient3
0.09,0.277,-0.319
0.087,0.27,-0.316
0.083,0.266,-0.311
0.087,0.269,-0.305
0.097,0.277,-0.291
0.089,0.278,-0.328
0.096,0.28,-0.307
0.075,0.252,-0.31
0.073,0.26,-0.314
0.085,0.271,-0.316
0.086,0.269,-0.3
0.103,0.286,-0.303
0.097,0.277,-0.288
0.099,0.283,-0.301
0.084,0.264,-0.311
0.066,0.255,-0.331
0.086,0.271,-0.301
0.1,0.282,-0.308
0.086,0.268,-0.302
0.082,0.27,-0.324
0.09,0.276,-0.314
0.077,0.258,-0.303
0.088,0.272,-0.314
0.072,0.258,-0.317
0.077,0.258,-0.317
0.078,0.262,-0.32
0.079,0.266,-0.324
0.072,0.256,-0.327
0.104,0.276,-0.264
0.1,0.278,-0.299
0.078,0.265,-0.327
0.077,0.263,-0.329
0.099,0.288,-0.319
0.081,0.266,-0.316
0.076,0.259,-0.323
0.083,0.268,-0.328
0.075,0.26,-0.329
0.082,0.259,-0.312
0.085,0.266,-0.314
0.076,0.262,-0.314
0.071,0.254,-0.327
0.086,0.267,-0.304
0.069,0.249,-0.326
0.069,0.25,-0.326
0.084,0.271,-0.324
0.07,0.255,-0.326
0.076,0.26,-0.32
0.079,0.271,-0.329
0.088,0.27,-0.312
0.083,0.264,-0.317
0.08,0.26,-0.304
0.093,0.277,-0.305
0.076,0.258,-0.32
0.092,0.274,-0.31
0.085,0.265,-0.302
0.081,0.265,-0.318
0.081,0.266,-0.323
0.067,0.247,-0.322
0.089,0.27,-0.309
