Map,Gradient1,Gradient2,Gradient3
Ontask,0.053,0.078,-0.437
Offtask,-0.053,-0.078,0.437
TimeNeg,0.084,0.379,-0.231
TimePos,-0.084,-0.379,0.231
RSTimePos,0.023,0.126,-0.199
RSTimeNeg,-0.023,-0.126,0.199
CRT>WM,0.12,0.036,0.372
WM>CRT,-0.12,-0.036,-0.372
ConRegPos,0.313,0.09,-0.024
ConRegNeg,-0.313,-0.09,0.024
Detail,0.101,0.147,0.159
Vague,-0.101,-0.147,-0.159
DetRegPos,0.071,0.005,0.152
DetRegNeg,-0.071,-0.005,-0.152
CRTNT,0.252,0.234,-0.303
WMNT,0.073,0.149,-0.413
CRTTT,-0.247,-0.323,-0.242
WMTT,-0.162,-0.34,-0.403
MCDMNOfftaskRead,0.097,0.13,-0.251
MCDMNOntaskRead,-0.097,-0.13,0.251
MCDANOfftaskRead,0.175,-0.08,0.082
MCDANOntaskRead,-0.175,0.08,-0.082
MCDANMWcontRead,-0.03,-0.16,-0.06
FrontmPFCOfftaskRead,-0.168,-0.15,-0.188
FrontmPFCOntaskRead,0.168,0.15,0.188
FrontPCCOfftaskRead,0.031,-0.132,-0.262
FrontPCCOntaskRead,-0.031,0.132,0.262
DANRSOfftask,0.184,-0.135,-0.081
DANRSOntask,-0.184,0.135,0.081
DMNRSOfftask,-0.099,0.092,0.156
DMNRSOntask,0.099,-0.092,-0.156
RSConRegPos,-0.369,-0.109,0.257
RSConRegNeg,0.369,0.109,-0.257
RSDMNDetConReg,0.221,-0.314,0.012
RSDMNDetail,-0.191,0.17,0.303
RSDMNVague,0.191,-0.17,-0.303
RSVANofftaskCRT,-0.379,-0.136,0.206
RSVANonftaskWM,-0.341,0.078,0.293
offtaskCRT,0.184,-0.101,0.289
ontaskWM,0.118,0.055,-0.388
