Gradient1,Gradient2,Gradient3
-0.169,-0.02,-0.506
-0.151,-0.018,-0.461
-0.149,-0.004,-0.49
-0.16,0,-0.513
-0.177,-0.045,-0.49
-0.174,-0.03,-0.515
-0.143,0.005,-0.489
-0.161,-0.016,-0.495
-0.176,-0.044,-0.479
-0.175,-0.043,-0.48
-0.147,0.004,-0.486
-0.145,-0.014,-0.469
-0.155,-0.01,-0.489
-0.147,-0.004,-0.474
-0.172,-0.038,-0.493
-0.178,-0.033,-0.517
-0.139,0.009,-0.486
-0.17,-0.033,-0.477
-0.159,-0.027,-0.475
-0.168,-0.028,-0.495
-0.159,-0.016,-0.484
-0.169,-0.024,-0.499
-0.179,-0.05,-0.478
-0.182,-0.049,-0.489
-0.184,-0.048,-0.487
-0.144,0.005,-0.494
-0.177,-0.034,-0.488
-0.146,-0.009,-0.472
-0.18,-0.043,-0.524
-0.152,-0.015,-0.477
-0.158,-0.018,-0.477
-0.19,-0.052,-0.503
-0.169,-0.03,-0.493
-0.18,-0.043,-0.502
-0.177,-0.039,-0.5
-0.202,-0.072,-0.481
-0.168,-0.033,-0.485
-0.16,-0.019,-0.496
-0.166,-0.02,-0.503
-0.173,-0.027,-0.51
-0.202,-0.074,-0.487
-0.17,-0.029,-0.488
-0.17,-0.038,-0.483
-0.159,-0.023,-0.466
-0.163,-0.026,-0.461
-0.169,-0.036,-0.487
-0.188,-0.062,-0.467
-0.173,-0.035,-0.479
-0.176,-0.03,-0.505
-0.162,-0.039,-0.462
-0.172,-0.03,-0.48
-0.175,-0.037,-0.491
-0.163,-0.023,-0.5
-0.182,-0.046,-0.493
-0.202,-0.058,-0.514
-0.165,-0.023,-0.497
-0.196,-0.057,-0.517
-0.192,-0.052,-0.506
-0.171,-0.04,-0.476
