Rnum,Run,motion,counter,Task
R4047,4,0.0336126,0.0,CRT
R4047,4,0.0333651,2.5270799999999998,CRT
R4047,4,0.0392105,5.412542999999999,CRT
R4047,4,0.0530955,0.0,CRT
R4047,4,0.0423847,2.526767,CRT
R4047,4,0.082559,0.0,CRT
R4047,4,0.0328084,2.226514,CRT
R4047,4,0.110215,4.803317,CRT
R4047,4,0.140439,0.0,CRT
R4047,4,0.0488896,2.885784,CRT
R4047,4,0.0366375,0.0,CRT
R4047,4,0.0436574,2.676935,CRT
R4047,4,0.0878184,5.05342,CRT
R4047,4,0.0575394,0.0,CRT
R4047,4,0.0575394,2.57677,CRT
R4047,4,0.0341576,0.0,CRT
R4047,4,0.0368503,2.376279,CRT
R4047,4,0.0206781,4.703237,CRT
R4047,4,0.0502734,0.0,CRT
R4047,4,0.0576386,2.7769329999999997,CRT
R3557,1,0.0274507,0.0,CRT
R3557,1,0.0231601,2.577282,CRT
R3557,1,0.0168543,0.0,CRT
R3557,1,0.0198312,2.635371,CRT
R3557,1,0.0250007,5.16208,CRT
R3557,1,0.0157275,0.0,CRT
R3557,1,0.0145096,2.527214,CRT
R3557,1,0.0145096,5.053907000000001,CRT
R3557,1,0.0136189,7.380547999999999,CRT
R3557,1,0.00685531,0.0,CRT
R3557,1,0.0226507,2.877015,CRT
R3557,1,0.00557846,5.403819,CRT
R3557,1,0.0162662,0.0,CRT
R3557,1,0.0153134,2.535146,CRT
R3557,1,0.0154776,5.412174,CRT
R3557,1,0.00630713,0.0,CRT
R3557,1,0.017125,2.63519,CRT
R3557,1,0.025067,0.0,CRT
R3557,1,0.0234834,2.526663,CRT
R3557,1,0.010626,5.061852,CRT
R3557,1,0.00668454,0.0,CRT
R4047,2,0.0177027,0.0,CRT
R4047,2,0.0402165,2.777346,CRT
R4047,2,0.0328979,5.554246,CRT
R4047,2,0.043497,0.0,CRT
R4047,2,0.0256148,2.385269,CRT
R4047,2,0.0393032,0.0,CRT
R4047,2,0.0718005,2.376524,CRT
R4047,2,0.0230471,5.203635,CRT
R4047,2,0.0256869,0.0,CRT
R4047,2,0.0656874,2.276671,CRT
R4047,2,0.0656874,5.1620919999999995,CRT
R4047,2,0.0332998,0.0,CRT
R4047,2,0.0417065,2.885395,CRT
R4047,2,0.0393413,0.0,CRT
R4047,2,0.0393413,2.7274350000000003,CRT
R4047,2,0.0291807,0.0,CRT
R4047,2,0.0499579,2.376498,CRT
R4047,2,0.0499579,4.9033359999999995,CRT
R4047,2,0.022742,7.279944,CRT
R4047,2,0.0178348,0.0,CRT
R3946,4,0.204994,0.0,CRT
R3946,4,0.246049,2.585427,CRT
R3946,4,0.0351785,0.0,CRT
R3946,4,0.0398894,2.326559,CRT
R3946,4,0.0618626,0.0,CRT
R3946,4,0.026342,2.585183,CRT
R3946,4,0.0255684,0.0,CRT
R3946,4,0.042518,2.785407,CRT
R3946,4,0.0245263,0.0,CRT
R3946,4,0.0210689,2.626835,CRT
R3946,4,0.0153869,5.203666,CRT
R3946,4,0.0828833,7.73034,CRT
R3946,4,0.0461037,0.0,CRT
R3946,4,0.0456249,2.877469,CRT
