Rnum,Run,motion,counter,Task
R4047,4,0.0436605,0.0,WM
R4047,4,0.0272544,2.777273,WM
R4047,4,0.0273059,0.0,WM
R4047,4,0.0776796,2.635527,WM
R4047,4,0.0480193,5.27074,WM
R4047,4,0.0785999,0.0,WM
R4047,4,0.0252116,2.385281,WM
R4047,4,0.0398875,0.0,WM
R4047,4,0.039219,2.576784,WM
R4047,4,0.0403371,0.0,WM
R4047,4,0.0647025,2.9275230000000003,WM
R4047,4,0.055323,5.662761,WM
R4047,4,0.055323,8.089419,WM
R4047,4,0.0537526,0.0,WM
R4047,4,0.0537526,2.477123,WM
R4047,4,0.261069,0.0,WM
R4047,4,0.176609,2.777456,WM
R4047,4,0.0609586,0.0,WM
R4047,4,0.0609586,2.7268480000000004,WM
R4047,4,0.0578082,5.253537,WM
R3557,1,0.0181407,0.0,WM
R3557,1,0.021481,2.685605,WM
R3557,1,0.00891313,5.020516,WM
R3557,1,0.0303128,0.0,WM
R3557,1,0.0303128,2.627308,WM
R3557,1,0.0402006,0.0,WM
R3557,1,0.00637978,2.677259,WM
R3557,1,0.0242673,0.0,WM
R3557,1,0.0242673,2.276435,WM
R3557,1,0.0337923,4.703137,WM
R3557,1,0.0173318,0.0,WM
R3557,1,0.00746132,2.626909,WM
R3557,1,0.00503764,0.0,WM
R3557,1,0.0285705,2.885323,WM
R3557,1,0.0211328,0.0,WM
R3557,1,0.0181347,2.427103,WM
R3557,1,0.0311668,4.853811,WM
R3557,1,0.0340105,0.0,WM
R3557,1,0.0265248,2.626762,WM
R4047,2,0.0162422,0.0,WM
R4047,2,0.0452119,2.577214,WM
R4047,2,0.0957566,5.462121,WM
R4047,2,0.012838,0.0,WM
R4047,2,0.021129,2.635679,WM
R4047,2,0.0306155,0.0,WM
R4047,2,0.022117,2.38498,WM
R4047,2,0.0142446,0.0,WM
R4047,2,0.0324167,2.427153,WM
R4047,2,0.0136185,0.0,WM
R4047,2,0.018851,2.484934,WM
R4047,2,0.025922,0.0,WM
R4047,2,0.0197312,2.685661,WM
R4047,2,0.0201642,0.0,WM
R4047,2,0.0222959,2.426968,WM
R4047,2,0.0266951,5.103886,WM
R4047,2,0.0266951,7.689105,WM
R4047,2,0.0460768,0.0,WM
R4047,2,0.0339019,2.284841,WM
R3946,4,0.0303412,0.0,WM
R3946,4,0.0541744,2.427024,WM
R3946,4,0.106363,0.0,WM
R3946,4,0.0624833,2.6267869999999998,WM
R3946,4,0.0518266,5.211881,WM
R3946,4,0.0247587,0.0,WM
R3946,4,0.0516956,2.777319,WM
R3946,4,0.0396433,5.3123190000000005,WM
R3946,4,0.0332667,0.0,WM
R3946,4,0.0484681,2.176851,WM
R3946,4,0.0484681,4.912129999999999,WM
R3946,4,0.0225255,0.0,WM
R3946,4,0.0225255,2.535003,WM
R3946,4,0.0251284,0.0,WM
R3946,4,0.0251284,2.527044,WM
R3946,4,0.0270236,0.0,WM
